ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CCL5,CCR5,Fibroblast,NK cell,0.5149,0.0736,0.0379
CD80,CTLA4,Myeloid/Macro,Unknown,0.1289,0.2928,0.0377
CD274,PDCD1,Tumor epithelial,T cell,0.0707,0.5314,0.0376
PDGFA,PDGFRA,Endothelial,Fibroblast,0.1487,0.253,0.0376
TNF,TNFRSF1A,T cell,NK cell,0.3383,0.1112,0.0376
CDH1,CDH1,Tumor epithelial,Fibroblast,0.5612,0.0665,0.0373
CDH1,CDH1,Fibroblast,Tumor epithelial,0.0665,0.5612,0.0373
CXCL10,CXCR3,Endothelial,Fibroblast,0.2335,0.1565,0.0365
TNF,TNFRSF1A,NK cell,Dendritic cell,0.3621,0.1002,0.0363
CXCL10,CXCR3,Endothelial,Unknown,0.2335,0.1549,0.0362
SPP1,CD44,B cell,B cell,0.0246,1.4617,0.036
VEGFA,FLT1,Tumor epithelial,Dendritic cell,0.4498,0.0795,0.0358
TNF,TNFRSF1A,Dendritic cell,T cell,0.4806,0.0734,0.0353
FAS,FASLG,Unknown,Mast cell,0.4983,0.0702,0.035
CD274,PDCD1,Mast cell,Plasma cell,0.2372,0.1477,0.035
FAS,FASLG,Dendritic cell,T cell,0.3602,0.097,0.0349
CD274,PDCD1,Myeloid/Macro,T cell,0.0653,0.5314,0.0347
IL6,IL6R,Fibroblast,Unknown,0.4471,0.0767,0.0343
TNF,TNFRSF1A,Dendritic cell,Plasma cell,0.4806,0.0714,0.0343
IL6,IL6R,Myeloid/Macro,Myeloid/Macro,0.044,0.7741,0.0341
TNF,TNFRSF1A,T cell,Dendritic cell,0.3383,0.1002,0.0339
TNF,TNFRSF1A,Unknown,Unknown,0.2774,0.1213,0.0337
CCL5,CCR5,T cell,Unknown,1.9899,0.0169,0.0337
CXCL10,CXCR3,Endothelial,Plasma cell,0.2335,0.1431,0.0334
SPP1,CD44,T cell,Endothelial,0.0488,0.6842,0.0334
CDH1,CDH1,Tumor epithelial,Plasma cell,0.5612,0.0594,0.0333
CDH1,CDH1,Plasma cell,Tumor epithelial,0.0594,0.5612,0.0333
CXCL10,CXCR3,Myeloid/Macro,NK cell,0.0966,0.3434,0.0332
VEGFA,KDR,Plasma cell,Endothelial,0.1945,0.1706,0.0332
FAS,FASLG,Unknown,Unknown,0.4983,0.0658,0.0328
VEGFA,FLT1,Myeloid/Macro,Unknown,0.7644,0.0423,0.0324
IL6,IL6R,Fibroblast,Tumor epithelial,0.4471,0.072,0.0322
CD80,CTLA4,Myeloid/Macro,NK cell,0.1289,0.2492,0.0321
VEGFA,FLT1,Plasma cell,Myeloid/Macro,0.1945,0.1648,0.0321
CD274,PDCD1,Endothelial,Unknown,0.1159,0.2728,0.0316
TNF,TNFRSF1A,Endothelial,Tumor epithelial,0.0471,0.6641,0.0313
FAS,FASLG,T cell,Mast cell,0.4448,0.0702,0.0312
TNF,TNFRSF1A,Unknown,NK cell,0.2774,0.1112,0.0309
SPP1,CD44,B cell,Fibroblast,0.0246,1.2495,0.0308
CCL5,CCR5,Myeloid/Macro,Dendritic cell,0.2596,0.1186,0.0308
CD80,CTLA4,Dendritic cell,Myeloid/Macro,0.5681,0.054,0.0307
CXCL10,CXCR3,Fibroblast,NK cell,0.089,0.3434,0.0306
CXCL10,CXCR3,Myeloid/Macro,T cell,0.0966,0.3149,0.0304
CCL5,CCR5,Dendritic cell,Dendritic cell,0.2558,0.1186,0.0303
CXCL10,CXCR3,Endothelial,B cell,0.2335,0.1293,0.0302
DLL1,NOTCH1,Endothelial,Unknown,0.1141,0.2638,0.0301
CCL5,CCR5,Mast cell,Dendritic cell,0.2536,0.1186,0.0301
FAS,FASLG,Mast cell,NK cell,0.116,0.2589,0.03
VEGFA,KDR,Myeloid/Macro,Tumor epithelial,0.7644,0.0392,0.0299
DLL1,NOTCH1,Endothelial,Endothelial,0.1141,0.2611,0.0298
CD80,CTLA4,B cell,Endothelial,0.1868,0.1583,0.0296
SPP1,CD44,T cell,Tumor epithelial,0.0488,0.6047,0.0295
CXCL10,CXCR3,Plasma cell,NK cell,0.0853,0.3434,0.0293
FAS,FASLG,T cell,Unknown,0.4448,0.0658,0.0293
IL6,IL6R,Endothelial,Endothelial,0.2273,0.1283,0.0292
VEGFA,FLT1,Unknown,Endothelial,0.033,0.8809,0.0291
CD80,CTLA4,Dendritic cell,Mast cell,0.5681,0.0508,0.0288
TNF,TNFRSF1A,B cell,T cell,0.3868,0.0734,0.0284
CCL5,CCR5,NK cell,Fibroblast,3.3874,0.0083,0.0282
CXCL10,CXCR3,Fibroblast,T cell,0.089,0.3149,0.028
FAS,FASLG,Myeloid/Macro,NK cell,0.1079,0.2589,0.0279
TNF,TNFRSF1A,Endothelial,Myeloid/Macro,0.0471,0.5912,0.0278
TNF,TNFRSF1A,Unknown,Dendritic cell,0.2774,0.1002,0.0278
SPP1,CD44,B cell,Plasma cell,0.0246,1.1263,0.0277
TNF,TNFRSF1A,B cell,Plasma cell,0.3868,0.0714,0.0276
CXCL12,CXCR4,Mast cell,T cell,0.0123,2.2238,0.0274
TNF,TNFRSF1A,Fibroblast,Unknown,0.2258,0.1213,0.0274
CCL5,CCR5,T cell,B cell,1.9899,0.0137,0.0273
FAS,FASLG,NK cell,T cell,0.281,0.097,0.0273
CXCL12,CXCR4,Fibroblast,Tumor epithelial,0.3063,0.0889,0.0272
FAS,FASLG,Endothelial,T cell,0.28,0.097,0.0272
VEGFA,KDR,Endothelial,Endothelial,0.1592,0.1706,0.0272
IL6,IL6R,Unknown,Mast cell,0.0675,0.4018,0.0271
CD80,CTLA4,Endothelial,T cell,0.0501,0.5394,0.027
CXCL10,CXCR3,Plasma cell,T cell,0.0853,0.3149,0.0269
CXCL12,CXCR4,Mast cell,B cell,0.0123,2.1868,0.0269
IL6,IL6R,Endothelial,Dendritic cell,0.2273,0.118,0.0268
TNF,TNFRSF1A,NK cell,T cell,0.3621,0.0734,0.0266
VEGFA,FLT1,Endothelial,Myeloid/Macro,0.1592,0.1648,0.0262
VEGFA,FLT1,Mast cell,Mast cell,1.1046,0.0235,0.0259
TNF,TNFRSF1A,NK cell,Plasma cell,0.3621,0.0714,0.0259
CD274,PDCD1,T cell,T cell,0.0486,0.5314,0.0258
CXCL12,CXCR4,Mast cell,NK cell,0.0123,2.0931,0.0258
CD80,CTLA4,B cell,Plasma cell,0.1868,0.1364,0.0255
VEGFA,FLT1,Fibroblast,Unknown,0.6013,0.0423,0.0255
FAS,FASLG,Dendritic cell,Mast cell,0.3602,0.0702,0.0253
CXCL12,CXCR4,Endothelial,Mast cell,0.0569,0.4447,0.0253
TNF,TNFRSF1A,Fibroblast,NK cell,0.2258,0.1112,0.0251
FAS,FASLG,B cell,T cell,0.2575,0.097,0.025
CD80,CTLA4,Unknown,T cell,0.0464,0.5394,0.025
TNF,TNFRSF1A,Endothelial,Fibroblast,0.0471,0.5293,0.0249
TNF,TNFRSF1A,T cell,T cell,0.3383,0.0734,0.0248
CXCL12,CXCR4,Myeloid/Macro,T cell,0.0111,2.2238,0.0246
IL6,IL6R,Fibroblast,T cell,0.4471,0.0543,0.0243
CXCL12,CXCR4,Myeloid/Macro,B cell,0.0111,2.1868,0.0242
CCL5,CCR5,B cell,Dendritic cell,0.2044,0.1186,0.0242
TNF,TNFRSF1A,T cell,Plasma cell,0.3383,0.0714,0.0242
FAS,FASLG,Dendritic cell,Unknown,0.3602,0.0658,0.0237
VEGFA,KDR,Fibroblast,Tumor epithelial,0.6013,0.0392,0.0236
CD274,PDCD1,Mast cell,Endothelial,0.2372,0.0995,0.0236
