ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CXCL12,CXCR4,Fibroblast,Fibroblast,0.3063,0.7732,0.2368
CCL5,CCR5,T cell,Dendritic cell,1.9813,0.1186,0.2349
TGFB1,TGFBR2,Myeloid/Macro,Plasma cell,1.1397,0.2043,0.2329
TGFB1,TGFBR2,Tumor epithelial,B cell,0.5803,0.3945,0.2289
TNF,TNFRSF1A,B cell,Myeloid/Macro,0.3868,0.5912,0.2287
SPP1,CD44,Endothelial,Mast cell,0.0889,2.5281,0.2247
SPP1,CD44,Dendritic cell,B cell,0.1526,1.4617,0.2231
TGFB1,TGFBR2,Mast cell,Mast cell,1.0223,0.218,0.2229
TGFB1,TGFBR2,Endothelial,Plasma cell,1.0881,0.2043,0.2223
TNF,TNFRSF1A,T cell,Tumor epithelial,0.3328,0.6641,0.221
TGFB1,TGFBR2,Dendritic cell,Dendritic cell,0.7559,0.2876,0.2174
TNF,TNFRSF1A,NK cell,Myeloid/Macro,0.3621,0.5912,0.2141
TGFB1,TGFBR2,Mast cell,Plasma cell,1.0223,0.2043,0.2089
SPP1,CD44,Fibroblast,Fibroblast,0.1672,1.2495,0.2089
TNF,TNFRSF1A,B cell,Fibroblast,0.3868,0.5293,0.2047
TGFB1,TGFBR2,B cell,Mast cell,0.9361,0.218,0.2041
TGFB1,TGFBR2,Dendritic cell,Myeloid/Macro,0.7559,0.2636,0.1992
TNF,TNFRSF1A,T cell,Myeloid/Macro,0.3328,0.5912,0.1968
TGFB1,TGFBR2,Plasma cell,Mast cell,0.9006,0.218,0.1963
SPP1,CD44,Tumor epithelial,Mast cell,0.0759,2.5281,0.1918
TNF,TNFRSF1A,NK cell,Fibroblast,0.3621,0.5293,0.1917
TGFB1,TGFBR2,B cell,Plasma cell,0.9361,0.2043,0.1913
SPP1,CD44,NK cell,Mast cell,0.0755,2.5281,0.1909
SPP1,CD44,Unknown,Myeloid/Macro,0.1038,1.8373,0.1908
SPP1,CD44,Dendritic cell,Fibroblast,0.1526,1.2495,0.1907
SPP1,CD44,Unknown,Unknown,0.1038,1.8285,0.1899
SPP1,CD44,Fibroblast,Plasma cell,0.1672,1.129,0.1888
VEGFA,KDR,Mast cell,Endothelial,1.0928,0.1706,0.1865
SPP1,CD44,Mast cell,Myeloid/Macro,0.1013,1.8373,0.1862
SPP1,CD44,Mast cell,Unknown,0.1013,1.8285,0.1853
TNF,TNFRSF1A,Dendritic cell,Endothelial,0.4806,0.3849,0.185
TNF,TNFRSF1A,Unknown,Tumor epithelial,0.2774,0.6641,0.1842
TGFB1,TGFBR2,Plasma cell,Plasma cell,0.9006,0.2043,0.184
SPP1,CD44,Unknown,T cell,0.1038,1.7708,0.1839
VEGFA,FLT1,Mast cell,Myeloid/Macro,1.0928,0.1648,0.1801
SPP1,CD44,Mast cell,T cell,0.1013,1.7708,0.1794
SPP1,CD44,Unknown,NK cell,0.1038,1.7125,0.1778
IL6,IL6R,Fibroblast,Mast cell,0.4471,0.3976,0.1778
CCL5,CCR5,T cell,T cell,1.9813,0.0896,0.1775
TNF,TNFRSF1A,T cell,Fibroblast,0.3328,0.5293,0.1762
IL6,IL6R,Endothelial,Myeloid/Macro,0.2273,0.7741,0.176
SPP1,CD44,Mast cell,NK cell,0.1013,1.7125,0.1735
TGFB1,TGFBR2,Fibroblast,Dendritic cell,0.6014,0.2876,0.173
SPP1,CD44,Dendritic cell,Plasma cell,0.1526,1.129,0.1723
VEGFA,FLT1,Plasma cell,Endothelial,0.1945,0.8809,0.1713
TGFB1,TGFBR2,NK cell,Tumor epithelial,1.8338,0.0916,0.168
TGFB1,TGFBR2,Tumor epithelial,Dendritic cell,0.5803,0.2876,0.1669
CD80,CTLA4,Dendritic cell,Unknown,0.5681,0.2928,0.1663
TGFB1,TGFBR2,Dendritic cell,Mast cell,0.7559,0.218,0.1648
TNF,TNFRSF1A,Unknown,Myeloid/Macro,0.2774,0.5912,0.164
SPP1,CD44,Endothelial,Myeloid/Macro,0.0889,1.8373,0.1633
SPP1,CD44,Endothelial,Unknown,0.0889,1.8285,0.1625
SPP1,CD44,Unknown,Dendritic cell,0.1038,1.5537,0.1613
TGFB1,TGFBR2,Fibroblast,Myeloid/Macro,0.6014,0.2636,0.1585
SPP1,CD44,Endothelial,T cell,0.0889,1.7708,0.1574
SPP1,CD44,Mast cell,Dendritic cell,0.1013,1.5537,0.1574
SPP1,CD44,Plasma cell,Endothelial,0.2266,0.6842,0.1551
TGFB1,TGFBR2,Dendritic cell,Plasma cell,0.7559,0.2043,0.1545
CCL5,CCR5,T cell,Myeloid/Macro,1.9813,0.0774,0.1533
TGFB1,TGFBR2,Tumor epithelial,Myeloid/Macro,0.5803,0.2636,0.1529
SPP1,CD44,Endothelial,NK cell,0.0889,1.7125,0.1522
SPP1,CD44,Unknown,B cell,0.1038,1.4617,0.1518
TNF,TNFRSF1A,Fibroblast,Tumor epithelial,0.2258,0.6641,0.1499
TNF,TNFRSF1A,B cell,Endothelial,0.3868,0.3849,0.1489
SPP1,CD44,Mast cell,B cell,0.1013,1.4617,0.1481
TNF,TNFRSF1A,Unknown,Fibroblast,0.2774,0.5293,0.1468
CCL5,CCR5,T cell,NK cell,1.9813,0.0736,0.1459
CXCL12,CXCR4,Fibroblast,Mast cell,0.3063,0.4753,0.1456
CD80,CTLA4,Dendritic cell,NK cell,0.5681,0.2492,0.1416
VEGFA,FLT1,Endothelial,Endothelial,0.1592,0.8809,0.1402
SPP1,CD44,Tumor epithelial,Myeloid/Macro,0.0759,1.8373,0.1394
TNF,TNFRSF1A,NK cell,Endothelial,0.3621,0.3849,0.1394
SPP1,CD44,NK cell,Myeloid/Macro,0.0755,1.8373,0.1388
SPP1,CD44,Tumor epithelial,Unknown,0.0759,1.8285,0.1387
SPP1,CD44,NK cell,Unknown,0.0755,1.8285,0.1381
SPP1,CD44,Endothelial,Dendritic cell,0.0889,1.5537,0.1381
SPP1,CD44,Plasma cell,Tumor epithelial,0.2266,0.6047,0.1371
TGFB1,TGFBR2,T cell,Tumor epithelial,1.4886,0.0916,0.1364
