ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,NK cell,Dendritic cell,0.0752,1.5394,0.1157
SPP1,CD44,Mast cell,Plasma cell,0.1024,1.1263,0.1153
FAS,FASLG,T cell,NK cell,0.4467,0.2576,0.1151
SPP1,CD44,Fibroblast,Endothelial,0.1672,0.6842,0.1144
SPP1,CD44,Endothelial,Fibroblast,0.0889,1.2495,0.111
SPP1,CD44,Tumor epithelial,B cell,0.0759,1.4613,0.1109
SPP1,CD44,NK cell,B cell,0.0752,1.4613,0.1098
TNF,TNFRSF1A,Unknown,Endothelial,0.2774,0.3849,0.1068
CXCL12,CXCR4,Endothelial,Unknown,0.0569,1.8662,0.1062
TGFB1,TGFBR2,Myeloid/Macro,Tumor epithelial,1.1381,0.0916,0.1043
VEGFA,KDR,Fibroblast,Endothelial,0.6013,0.1706,0.1026
CD80,CTLA4,B cell,T cell,0.1873,0.5394,0.1011
SPP1,CD44,Fibroblast,Tumor epithelial,0.1672,0.6047,0.1011
TNF,TNFRSF1A,Myeloid/Macro,Tumor epithelial,0.152,0.6641,0.101
SPP1,CD44,Endothelial,Plasma cell,0.0889,1.1263,0.1001
TGFB1,TGFBR2,Endothelial,Tumor epithelial,1.0881,0.0916,0.0997
VEGFA,FLT1,Fibroblast,Myeloid/Macro,0.6013,0.1652,0.0993
CCL5,CCR5,Endothelial,T cell,1.0562,0.0921,0.0972
SPP1,CD44,Tumor epithelial,Fibroblast,0.0759,1.2495,0.0948
SPP1,CD44,NK cell,Fibroblast,0.0752,1.2495,0.0939
TGFB1,TGFBR2,Mast cell,Tumor epithelial,1.0175,0.0916,0.0932
IL6,IL6R,Endothelial,Mast cell,0.2273,0.4018,0.0914
TNF,TNFRSF1A,Myeloid/Macro,Myeloid/Macro,0.152,0.5924,0.0901
SPP1,CD44,T cell,Myeloid/Macro,0.0488,1.8359,0.0897
SPP1,CD44,T cell,Unknown,0.0488,1.8285,0.0893
PDGFA,PDGFRA,Fibroblast,Fibroblast,0.3521,0.253,0.0891
TNF,TNFRSF1A,Fibroblast,Endothelial,0.2258,0.3849,0.0869
SPP1,CD44,T cell,T cell,0.0488,1.7726,0.0866
TGFB1,TGFBR2,B cell,Tumor epithelial,0.939,0.0916,0.086
SPP1,CD44,Tumor epithelial,Plasma cell,0.0759,1.1263,0.0855
CD80,CTLA4,Dendritic cell,Endothelial,0.5365,0.1583,0.0849
SPP1,CD44,NK cell,Plasma cell,0.0752,1.1263,0.0846
