ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CCL5,CCR5,T cell,Unknown,2.01,0.0169,0.034
FAS,FASLG,Unknown,Mast cell,0.4843,0.0702,0.034
TNF,TNFRSF1A,Unknown,Unknown,0.2774,0.1213,0.0337
CD80,CTLA4,Myeloid/Macro,NK cell,0.1289,0.261,0.0336
CXCL10,CXCR3,Myeloid/Macro,NK cell,0.0966,0.3473,0.0335
CXCL10,CXCR3,Endothelial,Plasma cell,0.2335,0.1431,0.0334
VEGFA,KDR,Plasma cell,Endothelial,0.1945,0.1706,0.0332
CDH1,CDH1,Tumor epithelial,Plasma cell,0.5585,0.0594,0.0332
CDH1,CDH1,Plasma cell,Tumor epithelial,0.0594,0.5585,0.0332
TNF,TNFRSF1A,T cell,Dendritic cell,0.3293,0.1002,0.033
VEGFA,FLT1,Myeloid/Macro,Unknown,0.7644,0.0423,0.0324
VEGFA,FLT1,Plasma cell,Myeloid/Macro,0.1945,0.1648,0.0321
IL6,IL6R,Fibroblast,Tumor epithelial,0.4471,0.0717,0.032
FAS,FASLG,Unknown,Unknown,0.4843,0.0658,0.0319
CD274,PDCD1,Endothelial,Unknown,0.1159,0.2728,0.0316
TNF,TNFRSF1A,Endothelial,Tumor epithelial,0.0471,0.6608,0.0311
FAS,FASLG,T cell,Mast cell,0.4422,0.0702,0.031
CXCL10,CXCR3,Fibroblast,NK cell,0.089,0.3473,0.0309
CCL5,CCR5,Myeloid/Macro,Dendritic cell,0.2596,0.1186,0.0308
SPP1,CD44,B cell,Fibroblast,0.0246,1.2495,0.0308
CD80,CTLA4,Dendritic cell,Myeloid/Macro,0.5681,0.054,0.0307
CCL5,CCR5,Fibroblast,NK cell,0.5149,0.0594,0.0306
CXCL10,CXCR3,Myeloid/Macro,T cell,0.0966,0.3147,0.0304
CCL5,CCR5,Dendritic cell,Dendritic cell,0.2558,0.1186,0.0303
CXCL10,CXCR3,Endothelial,B cell,0.2335,0.1293,0.0302
TNF,TNFRSF1A,Unknown,NK cell,0.2774,0.1086,0.0301
DLL1,NOTCH1,Endothelial,Unknown,0.1141,0.2638,0.0301
DLL1,NOTCH1,Endothelial,Endothelial,0.1141,0.2611,0.0298
VEGFA,KDR,Myeloid/Macro,Tumor epithelial,0.7644,0.039,0.0298
TNF,TNFRSF1A,NK cell,T cell,0.3984,0.0747,0.0298
CCL5,CCR5,Mast cell,Dendritic cell,0.2509,0.1186,0.0297
CXCL10,CXCR3,Plasma cell,NK cell,0.0853,0.3473,0.0296
FAS,FASLG,NK cell,T cell,0.2848,0.1026,0.0292
VEGFA,FLT1,Unknown,Endothelial,0.033,0.8809,0.0291
FAS,FASLG,T cell,Unknown,0.4422,0.0658,0.0291
SPP1,CD44,T cell,Tumor epithelial,0.0482,0.6018,0.029
TNF,TNFRSF1A,B cell,T cell,0.3868,0.0747,0.0289
FAS,FASLG,Endothelial,T cell,0.28,0.1026,0.0287
FAS,FASLG,Mast cell,NK cell,0.116,0.2458,0.0285
TNF,TNFRSF1A,NK cell,Plasma cell,0.3984,0.0714,0.0285
CCL5,CCR5,NK cell,Fibroblast,3.3703,0.0083,0.0281
CXCL10,CXCR3,Fibroblast,T cell,0.089,0.3147,0.028
TNF,TNFRSF1A,Unknown,Dendritic cell,0.2774,0.1002,0.0278
TNF,TNFRSF1A,Endothelial,Myeloid/Macro,0.0471,0.5912,0.0278
SPP1,CD44,B cell,Plasma cell,0.0246,1.1263,0.0277
CCL5,CCR5,T cell,B cell,2.01,0.0137,0.0276
TNF,TNFRSF1A,B cell,Plasma cell,0.3868,0.0714,0.0276
TNF,TNFRSF1A,Fibroblast,Unknown,0.2258,0.1213,0.0274
CXCL12,CXCR4,Mast cell,T cell,0.0123,2.2232,0.0274
IL6,IL6R,Unknown,Mast cell,0.0675,0.4018,0.0271
CXCL12,CXCR4,Fibroblast,Tumor epithelial,0.3063,0.0885,0.0271
CXCL10,CXCR3,Plasma cell,T cell,0.0853,0.3147,0.0269
CXCL12,CXCR4,Mast cell,B cell,0.0123,2.1868,0.0269
IL6,IL6R,Endothelial,Dendritic cell,0.2273,0.118,0.0268
FAS,FASLG,Myeloid/Macro,NK cell,0.1079,0.2458,0.0265
FAS,FASLG,B cell,T cell,0.2575,0.1026,0.0264
CD80,CTLA4,Myeloid/Macro,Endothelial,0.1289,0.2029,0.0261
VEGFA,FLT1,Mast cell,Mast cell,1.1046,0.0235,0.0259
CXCL12,CXCR4,Endothelial,Mast cell,0.0569,0.4495,0.0256
CD80,CTLA4,B cell,Plasma cell,0.1868,0.1364,0.0255
VEGFA,FLT1,Fibroblast,Unknown,0.6013,0.0423,0.0255
CXCL12,CXCR4,Mast cell,NK cell,0.0123,2.0664,0.0255
CD274,PDCD1,T cell,T cell,0.048,0.5294,0.0254
FAS,FASLG,Dendritic cell,Mast cell,0.3602,0.0702,0.0253
TNF,TNFRSF1A,Endothelial,Fibroblast,0.0471,0.5293,0.0249
CD80,CTLA4,Unknown,T cell,0.0464,0.5326,0.0247
CXCL12,CXCR4,Myeloid/Macro,T cell,0.0111,2.2232,0.0246
TNF,TNFRSF1A,T cell,T cell,0.3293,0.0747,0.0246
TNF,TNFRSF1A,Fibroblast,NK cell,0.2258,0.1086,0.0245
CCL5,CCR5,B cell,Dendritic cell,0.2044,0.1186,0.0242
CXCL12,CXCR4,Myeloid/Macro,B cell,0.0111,2.1868,0.0242
CCL5,CCR5,Myeloid/Macro,T cell,0.2596,0.0928,0.0241
IL6,IL6R,Fibroblast,T cell,0.4471,0.0536,0.024
FAS,FASLG,Dendritic cell,Unknown,0.3602,0.0658,0.0237
CCL5,CCR5,Dendritic cell,T cell,0.2558,0.0928,0.0237
CD274,PDCD1,Mast cell,Endothelial,0.2372,0.0995,0.0236
TNF,TNFRSF1A,T cell,Plasma cell,0.3293,0.0714,0.0235
VEGFA,FLT1,Mast cell,Tumor epithelial,1.1046,0.0213,0.0235
IL6,IL6R,Plasma cell,Myeloid/Macro,0.0304,0.7741,0.0235
CXCL12,CXCR4,Mast cell,Unknown,0.0123,1.8983,0.0234
VEGFA,KDR,Fibroblast,Tumor epithelial,0.6013,0.039,0.0234
FAS,FASLG,Plasma cell,T cell,0.2273,0.1026,0.0233
CCL5,CCR5,Mast cell,T cell,0.2509,0.0928,0.0233
IL6,IL6R,Tumor epithelial,Myeloid/Macro,0.0299,0.7741,0.0231
