ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
TGFB1,TGFBR2,NK cell,Tumor epithelial,1.832,0.0916,0.1679
TGFB1,TGFBR2,Tumor epithelial,Dendritic cell,0.5803,0.2876,0.1669
CD80,CTLA4,Dendritic cell,Unknown,0.5681,0.2928,0.1663
TNF,TNFRSF1A,Unknown,Myeloid/Macro,0.2774,0.5912,0.164
SPP1,CD44,Endothelial,Myeloid/Macro,0.0889,1.8373,0.1633
SPP1,CD44,Endothelial,Unknown,0.0889,1.8285,0.1625
SPP1,CD44,Unknown,Dendritic cell,0.1038,1.5537,0.1613
SPP1,CD44,Mast cell,Dendritic cell,0.1024,1.5537,0.1591
SPP1,CD44,Endothelial,T cell,0.0889,1.7706,0.1574
SPP1,CD44,Plasma cell,Endothelial,0.2266,0.6842,0.1551
TGFB1,TGFBR2,Dendritic cell,Mast cell,0.7559,0.2045,0.1546
CCL5,CCR5,T cell,Myeloid/Macro,1.9889,0.0774,0.1539
TGFB1,TGFBR2,Tumor epithelial,Myeloid/Macro,0.5803,0.2636,0.1529
TGFB1,TGFBR2,Dendritic cell,Plasma cell,0.7559,0.2018,0.1526
SPP1,CD44,Endothelial,NK cell,0.0889,1.7159,0.1525
SPP1,CD44,Unknown,B cell,0.1038,1.4617,0.1518
SPP1,CD44,Mast cell,B cell,0.1024,1.4617,0.1497
TNF,TNFRSF1A,B cell,Endothelial,0.3868,0.3849,0.1489
CCL5,CCR5,T cell,NK cell,1.9889,0.0733,0.1457
CD80,CTLA4,Dendritic cell,NK cell,0.5681,0.2552,0.145
TNF,TNFRSF1A,Fibroblast,Tumor epithelial,0.2174,0.6641,0.1444
TNF,TNFRSF1A,NK cell,Endothelial,0.3704,0.3849,0.1426
TNF,TNFRSF1A,Unknown,Fibroblast,0.2774,0.5097,0.1414
VEGFA,FLT1,Endothelial,Endothelial,0.1592,0.8809,0.1402
SPP1,CD44,Tumor epithelial,Myeloid/Macro,0.0759,1.8373,0.1394
SPP1,CD44,Tumor epithelial,Unknown,0.0759,1.8285,0.1387
SPP1,CD44,Endothelial,Dendritic cell,0.0889,1.5537,0.1381
SPP1,CD44,NK cell,Myeloid/Macro,0.0752,1.8373,0.1381
SPP1,CD44,NK cell,Unknown,0.0752,1.8285,0.1374
SPP1,CD44,Plasma cell,Tumor epithelial,0.2266,0.6047,0.1371
TGFB1,TGFBR2,T cell,Tumor epithelial,1.4892,0.0916,0.1365
SPP1,CD44,Tumor epithelial,T cell,0.0759,1.7706,0.1343
SPP1,CD44,Unknown,Fibroblast,0.1038,1.2843,0.1334
SPP1,CD44,NK cell,T cell,0.0752,1.7706,0.1331
CXCL12,CXCR4,Fibroblast,Mast cell,0.2949,0.4495,0.1326
TGFB1,TGFBR2,Unknown,Tumor epithelial,1.4415,0.0916,0.1321
TGFB1,TGFBR2,Fibroblast,Mast cell,0.644,0.2045,0.1317
SPP1,CD44,Mast cell,Fibroblast,0.1024,1.2843,0.1315
VEGFA,KDR,Myeloid/Macro,Endothelial,0.7644,0.1706,0.1304
SPP1,CD44,Tumor epithelial,NK cell,0.0759,1.7159,0.1302
TGFB1,TGFBR2,Fibroblast,Plasma cell,0.644,0.2018,0.13
SPP1,CD44,Endothelial,B cell,0.0889,1.4617,0.1299
TNF,TNFRSF1A,T cell,Endothelial,0.3356,0.3849,0.1292
SPP1,CD44,NK cell,NK cell,0.0752,1.7159,0.129
TNF,TNFRSF1A,Fibroblast,Myeloid/Macro,0.2174,0.5912,0.1285
FAS,FASLG,Unknown,NK cell,0.4983,0.2576,0.1284
CXCL12,CXCR4,Endothelial,T cell,0.0569,2.223,0.1265
VEGFA,FLT1,Myeloid/Macro,Myeloid/Macro,0.7644,0.1648,0.126
CD274,PDCD1,Mast cell,T cell,0.2372,0.531,0.1259
CCL5,CCR5,Endothelial,Dendritic cell,1.0562,0.1186,0.1252
CXCL12,CXCR4,Endothelial,B cell,0.0569,2.1868,0.1245
SPP1,CD44,T cell,Mast cell,0.049,2.5294,0.1238
CXCL12,CXCR4,Endothelial,NK cell,0.0569,2.097,0.1194
TGFB1,TGFBR2,Tumor epithelial,Mast cell,0.5803,0.2045,0.1187
SPP1,CD44,Tumor epithelial,Dendritic cell,0.0759,1.5537,0.1179
TGFB1,TGFBR2,Tumor epithelial,Plasma cell,0.5803,0.2018,0.1171
SPP1,CD44,Unknown,Plasma cell,0.1038,1.1263,0.1169
SPP1,CD44,NK cell,Dendritic cell,0.0752,1.5537,0.1168
SPP1,CD44,Mast cell,Plasma cell,0.1024,1.1263,0.1153
FAS,FASLG,T cell,NK cell,0.446,0.2576,0.1149
SPP1,CD44,Endothelial,Fibroblast,0.0889,1.2843,0.1141
SPP1,CD44,Tumor epithelial,B cell,0.0759,1.4617,0.1109
TNF,TNFRSF1A,Fibroblast,Fibroblast,0.2174,0.5097,0.1108
SPP1,CD44,Fibroblast,Endothelial,0.161,0.6842,0.1102
SPP1,CD44,NK cell,B cell,0.0752,1.4617,0.1099
TNF,TNFRSF1A,Unknown,Endothelial,0.2774,0.3849,0.1068
CXCL12,CXCR4,Endothelial,Unknown,0.0569,1.8662,0.1062
TGFB1,TGFBR2,Myeloid/Macro,Tumor epithelial,1.1397,0.0916,0.1044
SPP1,CD44,Dendritic cell,Endothelial,0.1526,0.6842,0.1044
CD80,CTLA4,B cell,T cell,0.1868,0.5408,0.101
TNF,TNFRSF1A,Myeloid/Macro,Tumor epithelial,0.1517,0.6641,0.1008
SPP1,CD44,Endothelial,Plasma cell,0.0889,1.1263,0.1001
TGFB1,TGFBR2,Endothelial,Tumor epithelial,1.0881,0.0916,0.0997
VEGFA,KDR,Fibroblast,Endothelial,0.579,0.1706,0.0988
SPP1,CD44,Fibroblast,Tumor epithelial,0.161,0.6047,0.0974
SPP1,CD44,Tumor epithelial,Fibroblast,0.0759,1.2843,0.0974
SPP1,CD44,NK cell,Fibroblast,0.0752,1.2843,0.0965
CCL5,CCR5,Unknown,Dendritic cell,0.8071,0.1186,0.0957
