ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
SPP1,CD44,NK cell,Endothelial,0.0755,0.7001,0.0529
SPP1,CD44,Tumor epithelial,Endothelial,0.0751,0.7001,0.0526
TNF,TNFRSF1A,Dendritic cell,NK cell,0.5106,0.1025,0.0523
CCL5,CCR5,NK cell,Unknown,3.3625,0.0154,0.0519
TNF,TNFRSF1A,Fibroblast,Endothelial,0.1308,0.3939,0.0515
CCL2,CCR2,Endothelial,Plasma cell,1.2821,0.04,0.0513
CXCL12,CXCR4,Endothelial,Endothelial,0.0582,0.8784,0.0512
FAS,FASLG,Unknown,T cell,0.5031,0.1019,0.0512
TNF,TNFRSF1A,Plasma cell,Myeloid/Macro,0.0867,0.5912,0.0512
FAS,FASLG,Plasma cell,NK cell,0.218,0.233,0.0508
CD80,CTLA4,B cell,Unknown,0.1857,0.2687,0.0499
CCL5,CCR5,Plasma cell,T cell,0.5475,0.0903,0.0495
VEGFA,FLT1,Fibroblast,Dendritic cell,0.579,0.0845,0.0489
CXCL10,CXCR3,Endothelial,Dendritic cell,0.2389,0.2016,0.0482
IL6,IL6R,Unknown,Myeloid/Macro,0.0616,0.7741,0.0477
TNF,TNFRSF1A,B cell,Unknown,0.3905,0.121,0.0472
CXCL12,CXCR4,Endothelial,Fibroblast,0.0582,0.8076,0.047
TNF,TNFRSF1A,Mast cell,Endothelial,0.118,0.3939,0.0465
CCL5,CCR5,NK cell,B cell,3.3625,0.0138,0.0465
SPP1,CD44,NK cell,Tumor epithelial,0.0755,0.6114,0.0462
SPP1,CD44,B cell,Unknown,0.0249,1.8479,0.0459
SPP1,CD44,Tumor epithelial,Tumor epithelial,0.0751,0.6114,0.0459
SPP1,CD44,B cell,Myeloid/Macro,0.0249,1.8373,0.0457
CD80,CTLA4,B cell,NK cell,0.1857,0.2459,0.0457
FAS,FASLG,T cell,T cell,0.4437,0.1019,0.0452
CCL5,CCR5,Plasma cell,NK cell,0.5475,0.0824,0.0451
CCL2,CCR2,Fibroblast,Plasma cell,1.119,0.04,0.0447
TNF,TNFRSF1A,NK cell,Unknown,0.3667,0.121,0.0444
TNF,TNFRSF1A,Plasma cell,Fibroblast,0.0867,0.5097,0.0442
SPP1,CD44,B cell,T cell,0.0249,1.7587,0.0437
HGF,MET,Fibroblast,Endothelial,0.1995,0.2181,0.0435
SPP1,CD44,B cell,NK cell,0.0249,1.7429,0.0433
VEGFA,KDR,Mast cell,Tumor epithelial,1.1046,0.0388,0.0428
IL6,IL6R,B cell,Myeloid/Macro,0.0552,0.7741,0.0427
CCL5,CCR5,Plasma cell,Myeloid/Macro,0.5475,0.0774,0.0424
IL6,IL6R,Endothelial,Plasma cell,0.2326,0.1794,0.0417
TNF,TNFRSF1A,B cell,Dendritic cell,0.3905,0.1065,0.0416
TNF,TNFRSF1A,T cell,Unknown,0.341,0.121,0.0413
TNF,TNFRSF1A,B cell,NK cell,0.3905,0.1025,0.04
TNF,TNFRSF1A,Dendritic cell,T cell,0.5106,0.078,0.0398
TNF,TNFRSF1A,NK cell,Dendritic cell,0.3667,0.1065,0.0391
FAS,FASLG,Unknown,Unknown,0.5031,0.0774,0.0389
CD274,PDCD1,Tumor epithelial,T cell,0.07,0.5391,0.0377
TNF,TNFRSF1A,NK cell,NK cell,0.3667,0.1025,0.0376
VEGFA,FLT1,Tumor epithelial,Dendritic cell,0.4454,0.0845,0.0376
PDGFA,PDGFRA,Endothelial,Fibroblast,0.1521,0.2436,0.0371
CCL5,CCR5,Fibroblast,T cell,0.4092,0.0903,0.037
CD274,PDCD1,Endothelial,NK cell,0.1186,0.3091,0.0367
SPP1,CD44,B cell,Dendritic cell,0.0249,1.4728,0.0366
PDGFA,PDGFRA,Mast cell,Fibroblast,0.1504,0.2436,0.0366
CXCL10,CXCR3,Endothelial,Unknown,0.2389,0.1526,0.0365
TNF,TNFRSF1A,T cell,Dendritic cell,0.341,0.1065,0.0363
SPP1,CD44,B cell,B cell,0.0249,1.4571,0.0362
CDH1,CDH1,Fibroblast,Tumor epithelial,0.064,0.5557,0.0356
CDH1,CDH1,Tumor epithelial,Fibroblast,0.5557,0.064,0.0356
FAS,FASLG,Unknown,Mast cell,0.5031,0.0702,0.0353
CXCL10,CXCR3,Endothelial,Plasma cell,0.2389,0.1476,0.0353
CD274,PDCD1,Myeloid/Macro,T cell,0.0653,0.5391,0.0352
VEGFA,KDR,Plasma cell,Endothelial,0.2005,0.1746,0.035
TNF,TNFRSF1A,T cell,NK cell,0.341,0.1025,0.035
CD80,CTLA4,Myeloid/Macro,Unknown,0.1289,0.2687,0.0346
SPP1,CD44,T cell,Endothelial,0.0492,0.7001,0.0344
FAS,FASLG,T cell,Unknown,0.4437,0.0774,0.0343
IL6,IL6R,Myeloid/Macro,Myeloid/Macro,0.044,0.7741,0.0341
TNF,TNFRSF1A,Plasma cell,Endothelial,0.0867,0.3939,0.0341
CDH1,CDH1,Tumor epithelial,Plasma cell,0.5557,0.0612,0.034
CDH1,CDH1,Plasma cell,Tumor epithelial,0.0612,0.5557,0.034
CXCL10,CXCR3,Myeloid/Macro,NK cell,0.0966,0.3515,0.0339
CCL5,CCR5,Fibroblast,NK cell,0.4092,0.0824,0.0337
SPP1,CD44,B cell,Fibroblast,0.0249,1.3545,0.0337
