ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
IL6,IL6R,Fibroblast,Fibroblast,0.4306,0.138,0.0594
TNF,TNFRSF1A,Mast cell,Myeloid/Macro,0.097,0.5927,0.0575
TGFB1,TGFBR2,Tumor epithelial,Tumor epithelial,0.5774,0.0983,0.0568
IL6,IL6R,Fibroblast,Endothelial,0.4306,0.1313,0.0565
SPP1,CD44,Unknown,Tumor epithelial,0.092,0.6018,0.0554
SPP1,CD44,Endothelial,Tumor epithelial,0.0909,0.6018,0.0547
TNF,TNFRSF1A,Plasma cell,Myeloid/Macro,0.0914,0.5927,0.0542
CD80,CTLA4,B cell,NK cell,0.1885,0.2844,0.0536
SPP1,CD44,NK cell,Endothelial,0.0763,0.7001,0.0534
SPP1,CD44,Tumor epithelial,Endothelial,0.0755,0.7001,0.0529
SPP1,CD44,B cell,Unknown,0.0285,1.8578,0.0529
SPP1,CD44,B cell,Myeloid/Macro,0.0285,1.8385,0.0523
VEGFA,FLT1,Myeloid/Macro,Dendritic cell,0.7707,0.0676,0.0521
IL6,IL6R,Unknown,Myeloid/Macro,0.0669,0.7763,0.0519
SPP1,CD44,B cell,T cell,0.0285,1.7718,0.0504
TNF,TNFRSF1A,Mast cell,Fibroblast,0.097,0.5097,0.0495
SPP1,CD44,B cell,NK cell,0.0285,1.7346,0.0494
CD80,CTLA4,B cell,Unknown,0.1885,0.2608,0.0492
TNF,TNFRSF1A,Dendritic cell,Unknown,0.4085,0.1201,0.0491
SPP1,CD44,T cell,Plasma cell,0.0481,1.003,0.0482
TNF,TNFRSF1A,B cell,Unknown,0.3957,0.1201,0.0475
VEGFA,FLT1,Mast cell,Unknown,1.1166,0.0419,0.0468
CXCL10,CXCR3,Endothelial,Fibroblast,0.2389,0.1955,0.0467
TNF,TNFRSF1A,Plasma cell,Fibroblast,0.0914,0.5097,0.0466
TNF,TNFRSF1A,NK cell,Unknown,0.3859,0.1201,0.0464
SPP1,CD44,NK cell,Tumor epithelial,0.0763,0.6018,0.0459
SPP1,CD44,Tumor epithelial,Tumor epithelial,0.0755,0.6018,0.0454
TNF,TNFRSF1A,Dendritic cell,NK cell,0.4085,0.1103,0.0451
IL6,IL6R,Endothelial,Plasma cell,0.2326,0.1893,0.044
TNF,TNFRSF1A,B cell,NK cell,0.3957,0.1103,0.0437
VEGFA,KDR,Mast cell,Tumor epithelial,1.1166,0.039,0.0435
IL6,IL6R,Fibroblast,Dendritic cell,0.4306,0.1003,0.0432
SPP1,CD44,B cell,Dendritic cell,0.0285,1.5081,0.0429
IL6,IL6R,B cell,Myeloid/Macro,0.0552,0.7763,0.0428
TNF,TNFRSF1A,NK cell,NK cell,0.3859,0.1103,0.0426
SPP1,CD44,B cell,B cell,0.0285,1.4591,0.0415
TNF,TNFRSF1A,T cell,Unknown,0.33,0.1201,0.0396
VEGFA,FLT1,Fibroblast,Dendritic cell,0.579,0.0676,0.0391
CD80,CTLA4,Dendritic cell,Plasma cell,0.4829,0.0805,0.0389
