ligand,receptor,source,target,ligand_expr,receptor_expr,lr_score
CCL5,CCR5,Dendritic cell,Dendritic cell,0.2558,0.1186,0.0303
CXCL10,CXCR3,Endothelial,B cell,0.2335,0.1293,0.0302
CXCL10,CXCR3,Myeloid/Macro,T cell,0.0966,0.3119,0.0301
FAS,FASLG,Mast cell,NK cell,0.116,0.2576,0.0299
DLL1,NOTCH1,Endothelial,Endothelial,0.1141,0.2611,0.0298
VEGFA,KDR,Myeloid/Macro,Tumor epithelial,0.7644,0.039,0.0298
FAS,FASLG,T cell,Unknown,0.4437,0.0671,0.0298
CCL5,CCR5,Mast cell,Dendritic cell,0.2509,0.1186,0.0297
CD80,CTLA4,B cell,Endothelial,0.1868,0.1583,0.0296
TNF,TNFRSF1A,NK cell,Plasma cell,0.3704,0.08,0.0296
VEGFA,FLT1,Unknown,Endothelial,0.0337,0.8809,0.0296
SPP1,CD44,T cell,Tumor epithelial,0.049,0.6018,0.0295
IL6,IL6R,Endothelial,Endothelial,0.2273,0.1283,0.0292
CXCL10,CXCR3,Plasma cell,NK cell,0.0837,0.3417,0.0286
TNF,TNFRSF1A,B cell,T cell,0.3868,0.0736,0.0285
TNF,TNFRSF1A,Unknown,Dendritic cell,0.2829,0.1002,0.0284
CCL5,CCR5,NK cell,Fibroblast,3.395,0.0083,0.0283
FAS,FASLG,Myeloid/Macro,NK cell,0.1079,0.2576,0.0278
CXCL10,CXCR3,Fibroblast,T cell,0.089,0.3119,0.0278
SPP1,CD44,B cell,Plasma cell,0.0246,1.1269,0.0278
TNF,TNFRSF1A,Endothelial,Myeloid/Macro,0.0471,0.5912,0.0278
TNF,TNFRSF1A,NK cell,T cell,0.3704,0.0736,0.0273
CXCL12,CXCR4,Mast cell,T cell,0.0123,2.2198,0.0273
VEGFA,KDR,Endothelial,Endothelial,0.1592,0.1706,0.0272
FAS,FASLG,Endothelial,T cell,0.28,0.0972,0.0272
CD80,CTLA4,Endothelial,T cell,0.0501,0.5428,0.0272
FAS,FASLG,NK cell,T cell,0.2796,0.0972,0.0272
CCL5,CCR5,T cell,B cell,1.9854,0.0137,0.0272
CXCL12,CXCR4,Fibroblast,Tumor epithelial,0.3063,0.0885,0.0271
CXCL12,CXCR4,Mast cell,B cell,0.0123,2.1868,0.0269
IL6,IL6R,Endothelial,Dendritic cell,0.2273,0.118,0.0268
TNF,TNFRSF1A,T cell,Plasma cell,0.3285,0.08,0.0263
VEGFA,FLT1,Endothelial,Myeloid/Macro,0.1592,0.1648,0.0262
CXCL10,CXCR3,Plasma cell,T cell,0.0837,0.3119,0.0261
VEGFA,FLT1,Fibroblast,Unknown,0.6013,0.0432,0.026
VEGFA,FLT1,Mast cell,Mast cell,1.1046,0.0235,0.0259
CXCL12,CXCR4,Mast cell,NK cell,0.0123,2.097,0.0258
CD274,PDCD1,T cell,T cell,0.0487,0.5288,0.0258
TNF,TNFRSF1A,Fibroblast,Unknown,0.2258,0.1138,0.0257
CD80,CTLA4,Unknown,T cell,0.0473,0.5428,0.0257
CXCL12,CXCR4,Endothelial,Mast cell,0.0569,0.4495,0.0256
FAS,FASLG,Dendritic cell,Mast cell,0.3602,0.0702,0.0253
FAS,FASLG,B cell,T cell,0.2575,0.0972,0.025
TNF,TNFRSF1A,Fibroblast,NK cell,0.2258,0.1107,0.025
TNF,TNFRSF1A,Endothelial,Fibroblast,0.0471,0.5293,0.0249
